DATE,CPILFESL
2010-01-01,220.633
2010-02-01,220.731
2010-03-01,220.783
2010-04-01,220.822
2010-05-01,220.962
2010-06-01,221.194
2010-07-01,221.363
2010-08-01,221.509
2010-09-01,221.711
2010-10-01,221.830
2010-11-01,222.149
2010-12-01,222.343
2011-01-01,222.803
2011-02-01,223.213
2011-03-01,223.454
2011-04-01,223.727
2011-05-01,224.175
2011-06-01,224.697
2011-07-01,225.218
2011-08-01,225.862
2011-09-01,226.118
2011-10-01,226.506
2011-11-01,226.899
2011-12-01,227.405
2012-01-01,227.877
2012-02-01,228.034
2012-03-01,228.478
2012-04-01,228.905
2012-05-01,229.224
2012-06-01,229.623
2012-07-01,229.970
2012-08-01,230.233
2012-09-01,230.659
2012-10-01,231.024
2012-11-01,231.330
2012-12-01,231.725
2013-01-01,232.229
2013-02-01,232.569
2013-03-01,232.794
2013-04-01,232.832
2013-05-01,232.996
2013-06-01,233.350
2013-07-01,233.880
2013-08-01,234.336
2013-09-01,234.700
2013-10-01,234.921
2013-11-01,235.359
2013-12-01,235.759
2014-01-01,235.961
2014-02-01,236.185
2014-03-01,236.625
2014-04-01,237.072
2014-05-01,237.529
2014-06-01,237.837
2014-07-01,238.195
2014-08-01,238.405
2014-09-01,238.786
2014-10-01,239.191
2014-11-01,239.458
2014-12-01,239.584
2015-01-01,239.811
2015-02-01,240.172
2015-03-01,240.755
2015-04-01,241.346
2015-05-01,241.688
2015-06-01,242.064
2015-07-01,242.565
2015-08-01,242.817
2015-09-01,243.316
2015-10-01,243.768
2015-11-01,244.241
2015-12-01,244.547
2016-01-01,244.955
2016-02-01,245.510
2016-03-01,245.913
2016-04-01,246.551
2016-05-01,247.137
2016-06-01,247.540
2016-07-01,247.829
2016-08-01,248.423
2016-09-01,248.842
2016-10-01,249.142
2016-11-01,249.481
2016-12-01,249.920
2017-01-01,250.462
2017-02-01,250.903
2017-03-01,250.836
2017-04-01,251.252
2017-05-01,251.488
2017-06-01,251.822
2017-07-01,252.047
2017-08-01,252.597
2017-09-01,253.039
2017-10-01,253.535
2017-11-01,253.744
2017-12-01,254.308
2018-01-01,255.007
2018-02-01,255.472
2018-03-01,256.117
2018-04-01,256.656
2018-05-01,257.157
2018-06-01,257.534
2018-07-01,257.930
2018-08-01,258.080
2018-09-01,258.534
2018-10-01,258.989
2018-11-01,259.415
2018-12-01,259.873
2019-01-01,260.419
2019-02-01,260.722
2019-03-01,261.339
2019-04-01,262.050
2019-05-01,262.384
2019-06-01,263.117
2019-07-01,263.616
2019-08-01,264.151
2019-09-01,264.603
2019-10-01,265.026
2019-11-01,265.427
2019-12-01,265.651
2020-01-01,266.306
2020-02-01,266.876
2020-03-01,266.820
2020-04-01,265.836
2020-05-01,265.637
2020-06-01,266.282
2020-07-01,267.722
2020-08-01,268.654
2020-09-01,269.155
2020-10-01,269.350
2020-11-01,269.819
2020-12-01,269.940
2021-01-01,270.025
