Date,Nonfarm employment,Total private,Goods producing,Mining & logging,Construction,Manufacturing,Durable goods,Motor vehicles & parts,Nondurable goods,Private service-providing,Wholesale trade,Retail trade,Transportation & warehousing,Information,Financial activities,Professional & business services,Temporary help services,Education & health services,Health care & social assistance,Leisure & hospitality,Other services,Government
1/29/10,2.0,-7.0,-85.0,4.0,-74.0,-15.0,-10.0,7.9,-5.0,78.0,-19.3,66.2,20.6,-6.0,-11.0,21.0,49.1,16.0,18.1,-12.0,3.0,9.0
2/26/10,-92.0,-77.0,-80.0,7.0,-80.0,-7.0,-4.0,-0.8,-3.0,3.0,-10.9,-3.9,0.4,0.0,-8.0,19.0,10.9,19.0,12.8,-5.0,-7.0,-15.0
3/31/10,181.0,139.0,45.0,8.0,37.0,0.0,11.0,0.4,-11.0,94.0,-0.5,49.6,11.4,-19.0,-16.0,-17.0,27.5,57.0,37.0,16.0,13.0,42.0
4/30/10,231.0,180.0,57.0,5.0,16.0,36.0,30.0,6.3,6.0,123.0,-0.3,-19.5,6.3,-3.0,0.0,92.0,28.7,6.0,6.2,36.0,6.0,51.0
5/28/10,540.0,113.0,13.0,10.0,-33.0,36.0,27.0,14.3,9.0,100.0,-3.5,11.4,11.2,-6.0,-9.0,36.0,44.4,32.0,21.0,33.0,-5.0,427.0
6/30/10,-139.0,117.0,21.0,5.0,-4.0,20.0,19.0,-1.5,1.0,96.0,4.3,3.5,16.9,-6.0,-11.0,62.0,27.7,21.0,12.0,22.0,-15.0,-256.0
7/30/10,-84.0,87.0,14.0,6.0,-8.0,16.0,11.0,4.3,5.0,73.0,1.6,7.1,17.4,0.0,-11.0,9.0,3.6,25.0,12.1,14.0,11.0,-171.0
8/31/10,-5.0,144.0,16.0,8.0,16.0,-8.0,7.0,0.8,-15.0,128.0,1.7,5.1,-3.7,-1.0,-1.0,60.0,20.6,37.0,30.2,33.0,-3.0,-149.0
9/30/10,-65.0,108.0,-6.0,7.0,-23.0,10.0,15.0,3.0,-5.0,114.0,5.9,24.0,17.4,-5.0,7.0,17.0,29.0,-16.0,9.3,56.0,9.0,-173.0
10/29/10,268.0,218.0,14.0,8.0,7.0,-1.0,4.0,0.0,-5.0,204.0,7.6,32.4,10.1,-2.0,-1.0,67.0,33.5,73.0,38.1,-10.0,25.0,50.0
11/30/10,125.0,135.0,26.0,5.0,-2.0,23.0,16.0,3.5,7.0,109.0,5.5,-24.7,8.9,-6.0,-1.0,94.0,25.7,45.0,29.5,-1.0,-11.0,-10.0
12/31/10,72.0,93.0,-31.0,-2.0,-39.0,10.0,12.0,0.9,-2.0,124.0,6.7,-11.9,24.8,-7.0,3.0,69.0,53.0,15.0,16.3,31.0,-9.0,-21.0
1/31/11,19.0,27.0,-12.0,2.0,-40.0,26.0,31.0,8.5,-5.0,39.0,6.5,63.0,-32.8,-4.0,-4.0,11.0,-27.5,19.0,-5.0,-8.0,-10.0,-8.0
2/28/11,212.0,255.0,60.0,3.0,24.0,33.0,27.0,8.0,6.0,195.0,12.7,21.1,30.9,-5.0,-4.0,79.0,34.3,10.0,9.2,39.0,10.0,-43.0
3/31/11,235.0,258.0,62.0,15.0,26.0,21.0,19.0,-0.6,2.0,196.0,16.4,31.0,10.5,-1.0,5.0,65.0,31.2,14.0,22.4,59.0,-4.0,-23.0
4/29/11,314.0,322.0,51.0,14.0,8.0,29.0,26.0,6.3,3.0,271.0,12.8,57.0,18.7,2.0,-2.0,62.0,-5.0,60.0,33.9,51.0,9.0,-8.0
5/31/11,101.0,156.0,50.0,10.0,31.0,9.0,17.0,-3.9,-8.0,106.0,5.9,-0.4,8.2,5.0,23.0,51.0,1.9,15.0,25.1,-5.0,4.0,-55.0
6/30/11,236.0,201.0,38.0,12.0,12.0,14.0,18.0,0.9,-4.0,163.0,7.9,35.9,15.9,6.0,-10.0,15.0,-11.9,36.0,23.1,50.0,6.0,35.0
7/29/11,60.0,175.0,49.0,11.0,19.0,19.0,14.0,3.0,5.0,126.0,8.1,43.7,2.3,-9.0,2.0,8.0,-8.8,39.0,35.2,27.0,7.0,-115.0
8/31/11,126.0,158.0,26.0,3.0,5.0,18.0,14.0,2.1,4.0,132.0,9.5,-6.0,6.8,-42.0,6.0,75.0,41.1,40.0,32.1,25.0,17.0,-32.0
9/30/11,233.0,267.0,47.0,10.0,32.0,5.0,10.0,6.6,-5.0,220.0,4.5,24.4,5.3,43.0,-6.0,64.0,30.4,48.0,35.5,31.0,5.0,-34.0
10/31/11,204.0,189.0,21.0,6.0,4.0,11.0,17.0,8.3,-6.0,168.0,14.9,5.7,8.2,0.0,13.0,46.0,18.2,42.0,28.3,38.0,1.0,15.0
11/30/11,132.0,159.0,-1.0,4.0,5.0,-10.0,1.0,1.4,-11.0,160.0,7.5,5.3,4.1,-1.0,14.0,35.0,13.0,39.0,17.6,47.0,8.0,-27.0
12/30/11,202.0,219.0,57.0,7.0,18.0,32.0,37.0,7.1,-5.0,162.0,19.7,-7.8,0.1,2.0,8.0,67.0,28.2,34.0,20.5,27.0,13.0,-17.0
1/31/12,354.0,362.0,60.0,9.0,15.0,36.0,30.0,8.1,6.0,302.0,15.6,70.1,18.0,-13.0,6.0,87.0,24.6,44.0,45.0,62.0,11.0,-8.0
2/29/12,262.0,261.0,30.0,5.0,3.0,22.0,22.0,5.5,0.0,231.0,12.1,-21.8,25.9,11.0,8.0,71.0,42.0,83.0,53.6,41.0,1.0,1.0
3/30/12,240.0,244.0,38.0,4.0,-4.0,38.0,26.0,11.9,12.0,206.0,6.4,30.8,4.8,2.0,25.0,32.0,-4.5,32.0,28.2,65.0,7.0,-4.0
4/30/12,82.0,94.0,12.0,1.0,-7.0,18.0,15.0,4.6,3.0,82.0,13.9,11.6,-12.1,1.0,3.0,49.0,6.1,18.0,19.1,3.0,-5.0,-12.0
5/31/12,100.0,120.0,2.0,5.0,-14.0,11.0,10.0,4.2,1.0,118.0,10.5,-3.3,32.6,6.0,12.0,25.0,9.9,40.0,30.9,-4.0,0.0,-20.0
6/29/12,73.0,54.0,25.0,-1.0,17.0,9.0,9.0,4.8,0.0,29.0,5.7,-16.9,0.2,-11.0,0.0,55.0,23.5,-9.0,5.1,-3.0,7.0,19.0
7/31/12,152.0,169.0,36.0,-3.0,11.0,28.0,23.0,13.3,5.0,133.0,10.9,-5.1,12.2,6.0,-4.0,43.0,10.5,35.0,26.4,33.0,9.0,-17.0
8/31/12,172.0,169.0,12.0,0.0,16.0,-4.0,-11.0,-5.3,7.0,157.0,-0.1,5.0,12.3,-4.0,9.0,32.0,3.5,28.0,27.2,69.0,-2.0,3.0
9/28/12,187.0,178.0,2.0,-5.0,13.0,-6.0,-9.0,-0.4,3.0,176.0,-3.0,36.3,3.9,-6.0,12.0,14.0,-30.4,40.0,35.4,68.0,11.0,9.0
10/31/12,159.0,181.0,11.0,-9.0,13.0,7.0,2.0,-5.2,5.0,170.0,10.6,15.3,10.5,-3.0,9.0,73.0,26.8,40.0,50.8,11.0,4.0,-22.0
11/30/12,156.0,176.0,5.0,6.0,10.0,-11.0,3.0,10.9,-14.0,171.0,3.3,75.7,-8.5,7.0,6.0,54.0,19.5,6.0,14.4,27.0,3.0,-20.0
12/31/12,239.0,235.0,55.0,5.0,40.0,10.0,17.0,3.6,-7.0,180.0,6.0,-30.9,35.6,1.0,12.0,37.0,3.6,48.0,46.2,68.0,3.0,4.0
1/31/13,191.0,209.0,48.0,3.0,22.0,23.0,10.0,3.9,13.0,161.0,13.7,22.5,1.3,-14.0,9.0,43.0,12.2,21.0,18.7,59.0,6.0,-18.0
2/28/13,278.0,266.0,58.0,7.0,38.0,13.0,8.0,6.1,5.0,208.0,3.1,15.1,-1.7,38.0,14.0,94.0,16.6,2.0,22.6,45.0,-2.0,12.0
3/28/13,139.0,150.0,22.0,1.0,18.0,3.0,8.0,5.6,-5.0,128.0,2.2,-2.3,-6.4,0.0,7.0,54.0,19.6,49.0,28.1,31.0,-5.0,-11.0
4/30/13,191.0,192.0,-7.0,-2.0,-6.0,1.0,3.0,1.5,-2.0,199.0,-0.2,19.1,14.5,-3.0,15.0,62.0,13.1,47.0,41.7,39.0,4.0,-1.0
5/31/13,222.0,227.0,38.0,5.0,33.0,0.0,-1.0,5.0,1.0,189.0,4.7,33.8,-3.9,15.0,11.0,54.0,9.3,17.0,0.7,41.0,15.0,-5.0
6/28/13,181.0,205.0,33.0,3.0,26.0,4.0,6.0,7.5,-2.0,172.0,5.7,46.5,4.3,-4.0,5.0,45.0,12.6,-1.0,16.1,59.0,10.0,-24.0
7/31/13,112.0,137.0,-19.0,-3.0,4.0,-20.0,-22.0,-12.3,2.0,156.0,7.1,41.2,-7.9,13.0,16.0,47.0,1.6,4.0,-18.0,36.0,3.0,-25.0
8/30/13,242.0,226.0,51.0,2.0,19.0,30.0,30.0,18.3,0.0,175.0,6.1,39.8,15.9,-30.0,-1.0,26.0,9.6,69.0,57.6,39.0,11.0,16.0
9/30/13,187.0,183.0,54.0,4.0,32.0,18.0,17.0,4.9,1.0,129.0,12.8,33.2,26.4,17.0,1.0,28.0,5.4,-10.0,13.5,12.0,8.0,4.0
10/31/13,225.0,230.0,47.0,2.0,21.0,24.0,12.0,5.3,12.0,183.0,-11.9,33.6,6.0,12.0,6.0,49.0,1.2,25.0,8.7,56.0,7.0,-5.0
11/29/13,264.0,251.0,54.0,-1.0,32.0,23.0,13.0,6.0,10.0,197.0,11.4,16.0,17.6,5.0,0.0,69.0,19.4,36.0,27.3,37.0,4.0,13.0
12/31/13,69.0,92.0,-30.0,-3.0,-31.0,4.0,2.0,4.5,2.0,122.0,5.8,75.4,11.4,2.0,4.0,-11.0,25.2,2.0,8.5,22.0,12.0,-23.0
1/31/14,175.0,181.0,56.0,5.0,53.0,-2.0,-8.0,-9.9,6.0,125.0,15.4,-24.8,20.7,-5.0,-1.0,47.0,-9.6,32.0,11.5,35.0,8.0,-6.0
2/28/14,166.0,155.0,51.0,4.0,22.0,25.0,22.0,16.3,3.0,104.0,6.2,-19.2,-5.1,-2.0,17.0,62.0,27.1,23.0,28.1,20.0,2.0,11.0
3/31/14,254.0,246.0,49.0,4.0,31.0,14.0,16.0,1.8,-2.0,197.0,5.1,4.4,15.8,6.0,2.0,45.0,12.4,43.0,34.3,55.0,18.0,8.0
4/30/14,325.0,305.0,67.0,7.0,46.0,14.0,11.0,-3.2,3.0,238.0,14.6,54.9,13.9,-3.0,12.0,58.0,11.8,27.0,15.5,50.0,12.0,20.0
5/30/14,218.0,239.0,38.0,1.0,25.0,12.0,15.0,7.1,-3.0,201.0,6.8,19.9,28.3,-3.0,7.0,42.0,10.4,43.0,47.1,56.0,1.0,-21.0
6/30/14,326.0,263.0,53.0,5.0,24.0,24.0,22.0,9.4,2.0,210.0,11.2,28.9,19.2,6.0,17.0,61.0,13.9,46.0,26.0,23.0,-3.0,63.0
7/31/14,232.0,226.0,69.0,5.0,45.0,19.0,17.0,9.1,2.0,157.0,2.9,23.1,27.5,-1.0,12.0,37.0,17.2,43.0,43.9,10.0,2.0,6.0
8/29/14,188.0,234.0,52.0,1.0,32.0,19.0,13.0,-4.2,6.0,182.0,-1.9,11.3,14.7,7.0,15.0,59.0,18.9,38.0,42.0,22.0,15.0,-46.0
9/30/14,309.0,267.0,55.0,5.0,32.0,18.0,10.0,0.7,8.0,212.0,7.3,32.7,13.9,1.0,13.0,56.0,20.7,52.0,33.6,43.0,-5.0,42.0
10/31/14,252.0,232.0,48.0,-2.0,17.0,33.0,23.0,2.6,10.0,184.0,2.5,50.8,19.9,-6.0,8.0,28.0,0.8,30.0,37.1,43.0,7.0,20.0
11/28/14,291.0,276.0,37.0,-1.0,13.0,25.0,17.0,7.7,8.0,239.0,3.0,33.2,22.6,9.0,18.0,54.0,6.7,53.0,52.2,38.0,8.0,15.0
12/31/14,268.0,253.0,25.0,-4.0,21.0,8.0,3.0,3.4,5.0,228.0,7.6,7.6,27.9,0.0,7.0,79.0,17.8,52.0,47.5,43.0,2.0,15.0
1/30/15,191.0,178.0,19.0,-8.0,27.0,0.0,0.0,-0.9,0.0,159.0,1.0,9.7,9.3,3.0,18.0,24.0,5.0,63.0,58.3,23.0,8.0,13.0
2/27/15,271.0,253.0,37.0,-13.0,41.0,9.0,8.0,3.3,1.0,216.0,12.3,14.9,16.2,4.0,13.0,45.0,0.8,48.0,39.4,57.0,5.0,18.0
3/31/15,71.0,79.0,-32.0,-16.0,-27.0,11.0,4.0,3.8,7.0,111.0,1.8,12.6,13.0,-5.0,9.0,26.0,3.4,43.0,36.7,9.0,2.0,-8.0
4/30/15,284.0,249.0,48.0,-16.0,58.0,6.0,-1.0,1.7,7.0,201.0,-3.6,19.2,6.9,4.0,7.0,44.0,7.8,74.0,75.2,42.0,7.0,35.0
5/29/15,331.0,324.0,27.0,-23.0,35.0,15.0,10.0,11.2,5.0,297.0,7.5,29.0,22.2,8.0,7.0,81.0,22.2,52.0,51.3,80.0,9.0,7.0
6/30/15,174.0,171.0,11.0,-4.0,14.0,1.0,-1.0,-0.9,2.0,160.0,-2.3,22.8,27.1,1.0,22.0,51.0,12.6,40.0,34.4,5.0,-6.0,3.0
7/31/15,302.0,267.0,35.0,-11.0,31.0,15.0,2.0,7.8,13.0,232.0,0.5,20.3,23.4,3.0,20.0,37.0,-0.4,55.0,43.6,60.0,12.0,35.0
8/31/15,125.0,115.0,3.0,-11.0,18.0,-4.0,0.0,3.1,-4.0,112.0,0.4,-1.3,10.8,1.0,6.0,29.0,2.6,41.0,38.0,33.0,-9.0,10.0
9/30/15,155.0,175.0,12.0,-15.0,18.0,9.0,-1.0,5.8,10.0,163.0,-9.6,5.2,9.0,10.0,10.0,23.0,-4.5,37.0,46.9,78.0,1.0,-20.0
